date,state,city,ibgeID,totalCases,newCases,deaths,newDeaths
2020-02-25,SP,São Paulo,3550308,1,1,0,0
2020-02-25,TOTAL,TOTAL,0,1,1,0,0
2020-02-26,SP,São Paulo,3550308,1,0,0,0
2020-02-26,TOTAL,TOTAL,0,1,0,0,0
2020-02-27,SP,São Paulo,3550308,1,0,0,0
2020-02-27,TOTAL,TOTAL,0,1,0,0,0
2020-02-28,SP,São Paulo,3550308,2,1,0,0
2020-02-28,TOTAL,TOTAL,0,2,1,0,0
2020-02-29,SP,São Paulo,3550308,2,0,0,0
2020-02-29,TOTAL,TOTAL,0,2,0,0,0
2020-03-01,SP,São Paulo,3550308,2,0,0,0
2020-03-01,TOTAL,TOTAL,0,2,0,0,0
2020-03-02,SP,São Paulo,3550308,2,0,0,0
2020-03-02,TOTAL,TOTAL,0,2,0,0,0
2020-03-03,SP,São Paulo,3550308,2,0,0,0
2020-03-03,TOTAL,TOTAL,0,2,0,0,0
2020-03-04,SP,São Paulo,3550308,3,1,0,0
2020-03-04,TOTAL,TOTAL,0,3,1,0,0
2020-03-05,RJ,Barra Mansa,3300407,1,1,0,0
2020-03-05,SP,São Paulo,3550308,6,3,0,0
2020-03-05,TOTAL,TOTAL,0,7,4,0,0
2020-03-06,BA,Feira de Santana,2910800,1,1,0,0
2020-03-06,RJ,Barra Mansa,3300407,1,0,0,0
2020-03-06,RJ,Rio de Janeiro,3304557,1,1,0,0
2020-03-06,SP,São Paulo,3550308,6,0,0,0
2020-03-06,TOTAL,TOTAL,0,9,2,0,0
2020-03-07,BA,Feira de Santana,2910800,2,1,0,0
2020-03-07,DF,Brasília,5300108,1,1,0,0
2020-03-07,RJ,Barra Mansa,3300407,1,0,0,0
2020-03-07,RJ,Rio de Janeiro,3304557,1,0,0,0
2020-03-07,SP,Santana de Parnaíba,3547304,1,1,0,0
2020-03-07,SP,São Paulo,3550308,12,6,0,0
2020-03-07,TOTAL,TOTAL,0,18,9,0,0
2020-03-08,AL,Maceió,2704302,1,1,0,0
2020-03-08,BA,Feira de Santana,2910800,2,0,0,0
2020-03-08,DF,Brasília,5300108,1,0,0,0
2020-03-08,MG,Divinópolis,3122306,1,1,0,0
2020-03-08,RJ,Barra Mansa,3300407,1,0,0,0
2020-03-08,RJ,Rio de Janeiro,3304557,2,1,0,0
2020-03-08,SP,Santana de Parnaíba,3547304,1,0,0,0
2020-03-08,SP,São Paulo,3550308,15,3,0,0
2020-03-08,TOTAL,TOTAL,0,24,6,0,0
2020-03-09,AL,Maceió,2704302,1,0,0,0
2020-03-09,BA,Feira de Santana,2910800,2,0,0,0
2020-03-09,DF,Brasília,5300108,1,0,0,0
2020-03-09,MG,Divinópolis,3122306,1,0,0,0
2020-03-09,RJ,Barra Mansa,3300407,1,0,0,0
2020-03-09,RJ,Rio de Janeiro,3304557,2,0,0,0
2020-03-09,SP,Santana de Parnaíba,3547304,1,0,0,0
2020-03-09,SP,São Paulo,3550308,15,0,0,0
2020-03-09,TOTAL,TOTAL,0,24,0,0,0
2020-03-10,AL,Maceió,2704302,1,0,0,0
2020-03-10,BA,Feira de Santana,2910800,2,0,0,0
2020-03-10,DF,Brasília,5300108,1,0,0,0
2020-03-10,MG,Divinópolis,3122306,1,0,0,0
2020-03-10,RJ,Barra Mansa,3300407,1,0,0,0
2020-03-10,RJ,Rio de Janeiro,3304557,2,0,0,0
2020-03-10,RS,Campo Bom,4303905,1,1,0,0
2020-03-10,SP,Santana de Parnaíba,3547304,1,0,0,0
2020-03-10,SP,São Paulo,3550308,18,3,0,0
2020-03-10,TOTAL,TOTAL,0,28,4,0,0
2020-03-11,AL,Maceió,2704302,1,0,0,0
2020-03-11,BA,Feira de Santana,2910800,3,1,0,0
2020-03-11,DF,Brasília,5300108,2,1,0,0
2020-03-11,MG,Divinópolis,3122306,1,0,0,0
2020-03-11,RJ,Barra Mansa,3300407,1,0,0,0
2020-03-11,RJ,Rio de Janeiro,3304557,2,0,0,0
2020-03-11,RS,Campo Bom,4303905,1,0,0,0
2020-03-11,RS,Porto Alegre,4314902,1,1,0,0
2020-03-11,SP,Santana de Parnaíba,3547304,1,0,0,0
2020-03-11,SP,São Paulo,3550308,29,11,0,0
2020-03-11,TOTAL,TOTAL,0,42,14,0,0
2020-03-12,AL,Maceió,2704302,1,0,0,0
2020-03-12,BA,Feira de Santana,2910800,3,0,0,0
2020-03-12,DF,Brasília,5300108,2,0,0,0
2020-03-12,GO,Goiânia,5208707,2,2,0,0
